DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	2002	12	28	16	18	0	10239a	0	99	0	53	-23.91	341.73	-4.17	169.56	0.3729	2452637.1791666667	18111.69	-1267.23	0.4768333333333333	1998
g	2002	12	30	11	11	32	10239a	0	9	0	5	-15.71	346.07	23.63	239.46	0.4503	2452638.9663425926	1730.35	-78.55000000000003	0.6312777777777777	1998
g	2002	12	31	13	12	32	10239a	0	10	0	6	-16.47	341.27	33.12	244.0	0.581	2452640.0503703705	2047.62	-98.82	0.684	1998
g	2003	1	3	9	10	57	10239a	0	6	0	6	2.37	230.26	-40.55	82.58	0.6577	2452642.882604167	1381.56	14.22	0.27472222222222226	1998
g	2003	1	4	13	21	34	10239a	0	4	0	3	-0.58	228.56	-26.77	84.95	0.4553	2452644.0566435186	685.6800000000002	-1.7399999999999998	0.3512777777777778	1998
g	2002	12	27	11	11	32	10239a	0	46	0	26	-16.88	339.06	-22.93	125.49	0.4555	2452635.9663425926	8815.56	-438.88	0.3726111111111111	1997
g	2002	12	26	11	11	32	10239a	0	8	0	5	-15.52	350.27	-24.89	119.79	0.4693	2452634.9663425926	1751.35	-77.6	0.3617222222222222	1997
g	2003	12	20	8	21	19	10520	25	211	20	162	2.9	8.0	49.93	275.08	0.7694	2452993.848136574	1296.0	469.8	0.7773888888888889	2011
g	2003	12	22	17	54	0	10520	3	35	8	114	3.41	7.53	81.03	273.74	0.9888	2452996.245833333	858.4200000000002	388.74	0.9501666666666668	2011
g	2003	12	21	10	8	21	10520	22	143	25	161	3.29	7.76	63.83	274.47	0.9006	2452994.9224652783	1249.36	529.69	0.8546111111111109	2011
g	2003	12	19	11	9	33	10520	17	289	11	185	2.74	8.8	39.07	276.09	0.6351	2452992.9649652783	1628.0000000000002	506.9	0.7170555555555556	2011
g	2003	12	17	10	9	26	10520	64	399	33	204	2.61	9.03	12.4	287.29	0.2256	2452990.9232175928	1842.12	532.4399999999998	0.5688888888888889	2010
g	2003	12	16	9	43	9	10520	34	379	17	192	2.21	9.33	-0.68	11.92	0.0577	2452989.9049652773	1791.36	424.32	0.4962222222222222	2010
g	2003	12	18	16	32	0	10520	44	298	25	169	2.68	8.82	28.88	277.94	0.4889	2452992.1888888893	1490.5800000000004	452.92	0.6604444444444444	2011
g	2003	12	14	13	20	37	10520	74	505	41	278	1.89	8.78	-25.61	84.03	0.4364	2452988.0559837963	2440.84	525.42	0.3577222222222222	2010
g	2003	12	13	10	9	7	10520	48	256	32	169	27.03	81.33	32.04	314.42	0.6639	2452986.922997685	13744.77	4568.0700000000015	0.6779999999999999	2010
g	2003	12	12	14	38	32	10520	33	193	27	156	2.41	8.06	-52.12	86.53	0.7924	2452986.1100925924	1257.36	375.96	0.21044444444444446	2010
g	2003	12	11	11	11	32	10520	19	127	25	163	2.35	8.05	-67.21	87.28	0.9239	2452984.9663425926	1312.15	383.05	0.12661111111111115	2010
g	2003	12	10	8	42	55	10520	6	38	20	124	2.13	8.11	-81.52	87.81	0.9898	2452983.863136574	1005.64	264.12	0.04711111111111113	2010
g	2003	12	15	9	54	26	10520	48	405	25	208	2.41	8.33	-14.77	77.21	0.2623	2452988.912800926	1732.64	501.28	0.4179444444444445	2010
g	2004	3	25	16	24	0	10584m	0	2	0	1	-16.8	103.79	-25.41	114.14	0.452	2453090.183333333	103.79	-16.8	0.3588333333333333	2014
g	2004	3	27	1	9	55	10584m	0	5	0	3	11.59	82.46	-28.73	57.43	0.561	2453091.548553241	247.38	34.77	0.34038888888888885	2014
g	2004	3	28	10	12	21	10584m	0	9	0	4	-15.91	108.39	15.36	237.23	0.3043	2453092.9252430554	433.56	-63.64	0.5853333333333334	2014
g	2005	9	18	0	38	0	10808a	0	7	0	4	10.76	168.08	-12.24	72.48	0.2195	2453631.5263888887	672.32	43.04	0.4320000000000001	2034
g	2005	9	19	15	6	0	10808a	0	6	0	3	12.57	168.05	8.88	302.71	0.1798	2453633.129166667	504.15	37.71	0.5493333333333333	2034
g	2005	9	17	9	43	17	10808a	0	4	0	2	11.83	168.22	-20.34	75.37	0.3532	2453630.9050578703	336.44	23.66	0.387	2034
g	2005	9	20	18	34	39	10808a	0	10	0	5	21.62	153.95	9.9	327.68	0.3003	2453634.2740625	769.75	108.1	0.555	2034
g	2005	9	15	9	24	8	10808a	0	3	0	2	12.46	166.79	-48.32	79.71	0.7433	2453628.891759259	333.58	24.92	0.23155555555555554	2034
g	2005	9	21	10	7	22	10808a	0	5	0	2	17.89	150.11	14.58	309.87	0.3292	2453634.9217824074	300.22	35.78	0.581	2034
g	2005	9	16	14	59	32	10808a	0	9	0	5	11.92	167.98	-30.88	78.74	0.5141	2453630.124675926	839.9	59.6	0.3284444444444445	2034
g	2005	9	22	12	40	51	10808a	0	1	0	0	23.16	152.36	31.46	301.51	0.565	2453636.028368056	0.0	0.0	0.6747777777777778	2034
g	2008	4	19	13	11	15	10991	0	6	0	3	-8.89	285.16	-32.43	98.38	0.5377	2454576.049479166	855.48	-26.67	0.31983333333333336	2069
g	2008	4	20	15	15	38	10991	0	1	0	1	-12.44	287.76	-15.46	116.66	0.2925	2454577.1358564813	287.76	-12.44	0.41411111111111104	2069
g	2008	4	21	10	14	42	10991	0	7	0	4	-7.77	280.22	-12.58	102.82	0.2223	2454577.926875	1120.88	-31.08	0.4301111111111111	2069
g	2008	4	25	10	53	41	10991	0	3	0	2	-2.43	277.99	38.38	271.99	0.623	2454581.9539467595	555.98	-4.86	0.7132222222222222	2069
g	2008	4	18	11	48	28	10991	0	6	0	4	-9.04	284.33	-47.23	97.43	0.7335	2454574.991990741	1137.32	-36.16	0.23761111111111116	2069
g	2009	9	21	13	44	29	11026m	0	2	0	1	-6.58	305.66	15.57	229.03	0.3547	2455096.0725578703	305.66	-6.58	0.5864999999999999	2088
g	2009	10	1	9	31	11	11026m	0	1	0	1	-29.2	196.91	36.48	222.5	0.7705	2455105.8966550925	196.91	-29.2	0.7026666666666667	2088
g	2009	10	3	14	39	59	11026m	0	4	0	8	-29.62	197.2	65.97	236.2	0.9568	2455108.111099537	1577.6	-236.96	0.8665	2088
g	2009	10	4	7	17	19	11026m	0	3	0	7	-29.8	196.95	74.87	238.19	0.9865	2455108.803692129	1378.65	-208.6	0.9159444444444444	2088
g	2009	12	16	9	35	31	11035m	0	9	0	5	20.0	224.03	-14.06	32.47	0.4271	2455181.8996643517	1120.15	100.0	0.4218888888888889	2091
g	2009	12	15	9	35	31	11035m	0	4	0	3	12.3	218.34	-32.92	66.91	0.5795	2455180.8996643517	655.02	36.90000000000001	0.3171111111111111	2091
g	2009	12	17	9	35	31	11035m	0	5	0	3	18.45	224.26	-0.65	1.83	0.3362	2455182.8996643517	672.78	55.35	0.4963888888888889	2091
g	2009	12	19	11	3	31	11035m	0	5	0	3	23.38	209.62	11.87	335.78	0.462	2455184.960775463	628.86	70.14	0.5659444444444445	2091
g	2010	12	11	17	0	31	11130n	0	3	0	2	-23.21	193.15	30.82	230.51	0.6125	2455542.2086921297	386.3	-46.42	0.6712222222222222	2104
g	2010	12	10	8	35	31	11130n	0	6	0	4	-28.16	179.04	-1.09	177.95	0.4701	2455540.857997685	716.16	-112.64	0.4939444444444444	2104
g	2010	12	9	14	24	31	11130n	0	14	0	8	-20.76	202.37	12.27	208.32	0.4084	2455540.1003587963	1618.96	-166.08	0.5681666666666666	2104
g	2010	12	7	23	59	31	11130n	0	6	0	4	-25.09	212.43	1.23	182.96	0.4274	2455538.499664352	849.72	-100.36	0.5068333333333334	2104
g	2012	3	2	14	0	2	11421o	0	3	0	1	-25.79	56.8	29.99	233.14	0.5671	2455989.083356481	56.8	-25.79	0.6666111111111109	2120
g	2012	2	25	12	10	41	11421o	0	6	0	3	-25.09	94.41	-12.43	147.81	0.3732	2455983.0074189813	283.23	-75.27	0.4309444444444444	2120
g	2012	2	26	12	18	2	11421o	0	14	0	6	-22.27	75.99	-17.59	138.49	0.3932	2455984.012523148	455.94	-133.62	0.4022777777777777	2120
g	2012	2	29	9	13	39	11421o	0	3	0	2	-26.63	74.55	18.8	219.19	0.4461	2455986.8844791665	149.1	-53.26	0.6044444444444445	2120
g	2013	1	19	0	21	0	11657m	0	3	0	1	-18.14	119.41	29.64	243.05	0.5293	2456311.514583333	119.41	-18.14	0.6646666666666666	2132
g	2013	1	16	9	47	57	11657m	0	9	0	4	-6.65	122.23	-1.87	136.9	0.0477	2456308.9082986107	488.92	-26.6	0.4896111111111111	2132
g	2013	1	20	1	12	0	11657m	0	1	0	1	-19.61	106.55	30.41	241.13	0.5466	2456312.55	106.55	-19.61	0.6689444444444445	2132
g	2013	1	13	9	49	38	11657m	0	5	0	3	-13.38	119.87	-43.72	104.73	0.6977	2456305.9094675924	359.61	-40.14	0.2571111111111111	2132
g	2013	8	11	8	35	38	11809q	0	2	0	2	6.37	217.33	-53.75	86.84	0.8049	2456515.858078704	434.66	12.74	0.2013888888888889	2140
g	2013	8	17	9	35	35	11809q	0	5	0	2	16.36	219.5	28.28	291.69	0.49200000000000005	2456521.899710648	439.0	32.72	0.6571111111111111	2140
g	2013	8	16	7	44	15	11809q	0	2	0	1	18.59	205.26	-0.2	0.91	0.2069	2456520.822395833	205.26	18.59	0.4988888888888889	2140
g	2014	5	5	6	5	2	12052m	0	10	0	5	-18.42	331.3	-20.25	128.08	0.4187	2456782.7534953705	1656.5	-92.1	0.3875	2150
g	2014	5	7	6	58	29	12052m	0	5	0	2	-16.64	331.94	7.32	208.26	0.259	2456784.790613426	663.88	-33.28	0.5406666666666666	2150
g	2014	5	9	7	36	27	12052m	0	4	0	2	-27.02	312.1	14.28	208.57	0.4614	2456786.816979166	624.2	-54.04	0.5793333333333334	2150
g	1978	7	25	8	22	30	1226a	0	3	0	1	22.72	41.11	11.78	328.54	0.3578	2443714.848958333	41.11	22.72	0.5654444444444444	1670
g	1978	7	29	7	59	55	1226a	0	3	0	2	28.52	18.4	41.76	305.3	0.7181	2443718.833275463	36.8	57.04	0.732	1671
g	1978	7	27	10	27	36	1226a	0	10	0	7	26.84	22.19	20.44	322.45	0.5058	2443716.935833333	155.33	187.88	0.6135555555555555	1670
