DataType	YYYY	MM	DD	HH	mm	ss	NOAA	UmbraArea	WholeSpotArea	CorrectedUmbraArea	CorrectedWholeSpotArea	Latitude	Longitude	LongitudinalDistance	PositionAngle	DistanceFromCentre	JulianDay	Longitude*Area	Latitude*Area	PositionOnDisk	CarringtonRotation
g	1981	10	17	7	26	2	3408	0	3	0	1	20.14	267.82	-26.69	57.83	0.4958	2444894.8097453704	267.82	20.14	0.3517222222222222	1714
g	1981	10	19	10	23	4	3408	0	8	0	4	14.34	260.85	-5.62	32.27	0.1832	2444896.932685185	1043.4	57.36	0.4687777777777778	1714
g	1981	10	21	13	16	39	3408	0	1	0	1	14.68	260.68	22.14	294.87	0.4036	2444899.0532291667	260.68	14.68	0.623	1714
g	1981	10	22	6	21	57	3408	0	6	0	2	17.13	258.25	29.08	295.24	0.5152	2444899.7652430558	516.5	34.26	0.6615555555555556	1714
g	1981	10	23	9	28	57	3408	0	3	0	2	22.31	260.17	45.86	295.73	0.7393	2444900.895104166	520.34	44.62	0.7547777777777779	1714
g	2013	8	16	7	44	15	11809q	0	2	0	1	18.59	205.26	-0.2	0.91	0.2069	2456520.822395833	205.26	18.59	0.4988888888888889	2140
g	2013	8	17	9	35	35	11809q	0	5	0	2	16.36	219.5	28.28	291.69	0.4920000000000001	2456521.899710648	439.0	32.72	0.6571111111111111	2140
g	2002	1	28	9	23	53	9804	0	6	0	3	-18.82	44.6	-34.44	114.4	0.5901	2452302.891585648	133.8	-56.46	0.3086666666666667	1985
g	2002	1	29	10	5	44	9804	2	57	1	37	-17.82	35.91	-29.58	116.37	0.5203	2452303.9206481483	1328.6699999999996	-659.34	0.3356666666666667	1985
g	2002	1	30	12	46	6	9804	0	63	0	36	-21.32	28.12	-22.74	130.46	0.4554	2452305.032013889	1012.32	-767.52	0.3736666666666667	1985
g	2002	1	31	11	11	32	9804	0	89	0	55	-22.25	25.05	-13.36	155.09	0.3991	2452305.9663425926	1377.75	-1223.75	0.42577777777777776	1985
g	2002	2	1	9	32	49	9804	0	20	0	10	-20.33	28.78	2.47	191.74	0.3029	2452306.897789352	287.8	-203.3	0.5137222222222222	1985
g	2002	2	2	12	57	41	9804	0	107	0	59	-21.25	22.53	11.25	212.65	0.3715	2452308.04005787	1329.27	-1253.75	0.5625	1985
g	2002	2	3	10	0	35	9804	2	73	1	43	-20.84	19.94	20.23	226.15	0.4447	2452308.9170717592	857.4200000000003	-896.12	0.6123888888888889	1985
g	2005	9	15	9	24	8	10808a	0	3	0	2	12.46	166.79	-48.32	79.71	0.7433	2453628.891759259	333.58	24.92	0.23155555555555554	2034
g	2005	9	16	14	59	32	10808a	0	9	0	5	11.92	167.98	-30.88	78.74	0.5141	2453630.124675926	839.9	59.6	0.3284444444444445	2034
g	2005	9	17	9	43	17	10808a	0	4	0	2	11.83	168.22	-20.34	75.37	0.3532	2453630.9050578703	336.44	23.66	0.387	2034
g	2005	9	18	0	38	0	10808a	0	7	0	4	10.76	168.08	-12.24	72.48	0.2195	2453631.5263888887	672.32	43.04	0.4320000000000001	2034
g	2005	9	19	15	6	0	10808a	0	6	0	3	12.57	168.05	8.88	302.71	0.1798	2453633.129166667	504.15	37.71	0.5493333333333333	2034
g	2005	9	21	10	7	22	10808a	0	5	0	2	17.89	150.11	14.58	309.87	0.3292	2453634.9217824074	300.22	35.78	0.581	2034
g	2015	7	10	6	9	21	12388	0	10	0	7	16.51	23.02	-37.61	68.28	0.6322	2457213.7564930557	161.14	115.57	0.2910555555555556	2165
g	2015	7	11	7	29	51	12388	0	8	0	4	14.37	23.04	-23.62	64.36	0.4333	2457214.812395833	92.16	57.48	0.36877777777777776	2165
g	2015	7	12	5	54	45	12388	0	25	0	13	17.71	22.62	-11.66	38.88	0.3079	2457215.746354167	294.06	230.23	0.43522222222222223	2165
g	2015	7	13	1	10	0	12388	0	18	0	9	15.94	23.4	-0.28	1.29	0.2053	2457216.548611111	210.6	143.46	0.4984444444444444	2165
g	2015	7	14	7	18	22	12388	0	10	0	5	19.25	23.61	16.55	314.28	0.3773	2457217.8044212963	118.05	96.25	0.5919444444444444	2165
g	2015	7	16	10	52	34	12388	12	47	9	35	10.43	23.96	45.33	280.24	0.7139	2457219.953171296	838.6	365.05	0.7518333333333332	2166
g	2015	7	17	6	14	30	12388	4	18	4	16	11.81	24.34	56.36	281.18	0.8331	2457220.7600694443	389.44	188.96	0.8131111111111112	2166
g	2015	7	18	6	12	7	12388	4	11	5	18	12.72	25.11	70.37	281.88	0.94	2457221.758414352	451.98	228.96	0.8909444444444444	2166
g	1990	9	3	6	28	13	6249	4	15	11	39	14.71	252.1	-79.25	76.43	0.9782	2448137.7695949073	9831.9	573.69	0.05972222222222224	1833
g	1990	9	4	15	20	32	6249	4	13	5	15	15.35	251.07	-62.21	76.44	0.8793	2448139.139259259	3766.05	230.25	0.15438888888888888	1833
g	1990	9	5	12	54	43	6249	0	5	0	5	17.1	247.83	-53.57	74.07	0.8011	2448140.0379976854	1239.15	85.5	0.2023888888888889	1833
g	1990	9	6	15	41	45	6249	13	32	10	23	15.48	250.3	-36.34	73.8	0.5964	2448141.153993056	5756.900000000002	356.04	0.2981111111111111	1833
g	1990	9	7	6	59	42	6249	3	25	1	16	15.63	249.85	-28.39	70.81	0.4863	2448141.791458333	3997.6	250.08	0.3422777777777778	1833
g	1990	9	10	8	13	28	6249	0	3	0	2	18.67	253.24	15.27	308.87	0.3234	2448144.8426851854	506.48	37.34	0.5848333333333333	1833
g	1999	1	7	12	43	18	8426m	0	3	0	2	-19.3	60.9	1.33	184.67	0.2705	2451186.0300694443	121.8	-38.6	0.5073888888888889	1944
g	1999	1	10	17	11	0	8426m	0	1	0	1	-14.82	54.22	36.59	250.85	0.6123	2451189.2159722224	54.22	-14.82	0.7032777777777778	1944
g	2015	3	22	15	1	30	12307p	0	2	0	1	-8.28	32.2	-37.8	94.53	0.6107	2457104.126041666	32.2	-8.28	0.29000000000000004	2161
g	2015	3	23	8	41	31	12307p	0	6	0	3	-15.13	26.44	-33.78	107.17	0.5717	2457104.862164352	79.32000000000002	-45.39	0.3123333333333333	2161
g	2015	3	25	0	22	0	12307p	0	43	0	23	-5.57	25.25	-13.21	85.37	0.2389	2457106.5152777783	580.75	-128.11	0.4266111111111111	2161
g	2015	3	26	0	39	0	12307p	0	54	0	27	-7.35	23.28	-1.84	105.42	0.0332	2457107.527083333	628.5600000000002	-198.45	0.4897777777777778	2161
g	2015	3	27	8	20	57	12307p	0	30	0	14	-7.55	17.74	10.05	272.28	0.1945	2457108.8478819444	248.36	-105.7	0.5558333333333333	2161
g	2015	3	28	7	39	45	12307p	0	9	0	5	-8.11	24.36	29.48	265.46	0.4907	2457109.819270833	121.8	-40.55	0.6637777777777778	2162
g	1981	6	12	12	31	28	3164	0	1	0	0	18.8	132.8	-37.48	61.44	0.657	2444768.021851852	0.0	0.0	0.2917777777777778	1709
g	1981	6	13	8	52	23	3164	0	9	0	6	19.64	134.39	-24.63	50.46	0.5103	2444768.869710648	806.3399999999997	117.84	0.3631666666666667	1709
g	1981	6	14	12	23	59	3164	0	9	0	4	20.62	125.32	-18.51	41.37	0.4515	2444770.0166550926	501.28	82.48	0.3971666666666666	1709
g	1981	6	15	14	59	59	3164	0	7	0	4	19.11	134.41	5.24	344.5	0.3229	2444771.124988426	537.64	76.44	0.5291111111111111	1709
g	1981	6	19	10	0	31	3164	0	1	0	1	25.78	125.76	46.78	302.49	0.7802	2444774.917025463	125.76	25.78	0.7598888888888891	1709
g	2014	5	5	6	5	2	12052m	0	10	0	5	-18.42	331.3	-20.25	128.08	0.4187	2456782.7534953705	1656.5	-92.1	0.3875	2150
g	2014	5	7	6	58	29	12052m	0	5	0	2	-16.64	331.94	7.32	208.26	0.259	2456784.790613426	663.88	-33.28	0.5406666666666666	2150
g	2015	4	25	6	11	53	12332m	0	3	0	1	-7.65	319.6	-26.48	88.46	0.433	2457137.7582523148	319.6	-7.65	0.3528888888888889	2163
g	2015	4	27	6	50	58	12332m	0	3	0	2	-4.32	328.91	9.61	271.19	0.1673	2457139.7853935184	657.82	-8.64	0.5533888888888889	2163
g	2015	12	16	9	25	15	12470m	0	2	0	4	22.02	49.6	-70.3	66.45	0.9535	2457372.8925347216	198.4	88.08	0.10944444444444447	2171
g	2015	12	18	8	45	33	12470m	0	1	0	1	13.46	34.31	-59.59	73.81	0.8754	2457374.8649652777	34.31	13.46	0.16894444444444442	2171
g	2015	12	20	8	26	15	12470m	0	11	0	7	19.01	36.57	-31.12	53.97	0.598	2457376.8515625	255.99	133.07000000000002	0.3271111111111111	2171
g	2015	12	21	9	58	30	12470m	0	21	0	11	15.6	38.02	-15.68	41.71	0.40299999999999997	2457377.915625	418.22	171.6	0.4128888888888889	2171
g	2015	12	23	8	40	35	12470m	0	9	0	5	19.25	37.86	9.79	335.98	0.3962	2457379.861516204	189.3	96.25	0.5543888888888888	2171
g	1980	4	23	7	51	17	2405	0	10	0	6	3.35	219.79	-31.9	75.86	0.5442	2444352.8272800925	1318.74	20.1	0.3227777777777778	1694
g	1980	4	24	14	11	24	2405	0	5	0	2	5.55	215.54	-19.47	60.97	0.3809	2444354.09125	431.08	11.1	0.39183333333333337	1694
g	1980	4	25	12	30	27	2405	0	7	0	4	3.81	218.07	-4.66	32.55	0.1789	2444355.021145833	872.28	15.24	0.4741111111111112	1694
g	1980	4	26	13	1	0	2405	0	15	0	7	5.21	217.5	8.28	321.35	0.2248	2444356.042361111	1522.5	36.47	0.546	1694
g	1980	4	27	8	33	41	2405	0	3	0	2	5.27	224.55	26.09	290.25	0.4686	2444356.856724537	449.1	10.54	0.6449444444444444	1694
g	1980	4	28	11	21	2	2405	0	7	0	4	8.67	216.63	32.93	291.82	0.5809	2444357.972939815	866.52	34.68	0.6829444444444445	1694
g	2015	3	16	8	20	22	12297o	0	4	0	2	-20.08	158.13	5.38	201.44	0.242	2457097.8474768517	316.26	-40.16	0.5298888888888889	2161
g	2015	3	17	9	30	0	12297o	0	4	0	2	-21.54	163.6	24.69	236.28	0.4691	2457098.895833333	327.2	-43.08	0.6371666666666667	2161
g	2015	8	25	6	23	44	12403w	0	30	0	16	14.97	155.42	-16.78	58.64	0.3121	2457259.766481481	2486.72	239.52	0.4067777777777778	2167
g	2015	8	26	6	50	5	12403w	0	18	0	10	13.65	137.04	-21.68	68.17	0.3797	2457260.7847800925	1370.4	136.5	0.3795555555555555	2167
g	2015	8	27	6	42	54	12403w	0	26	0	13	14.85	145.29	-0.26	1.89	0.1352	2457261.7797916667	1888.77	193.05	0.4985555555555555	2167
g	2015	8	28	6	44	20	12403w	0	9	0	5	16.61	145.1	12.72	308.95	0.27899999999999997	2457262.7807870368	725.5	83.05	0.5706666666666667	2167
g	2015	8	29	6	15	43	12403w	0	23	0	12	15.93	124.62	5.25	330.0	0.1773	2457263.760914352	1495.44	191.16	0.5291666666666667	2167
g	2015	8	30	6	3	4	12403w	0	5	0	2	16.28	120.45	14.11	304.75	0.2861	2457264.7521296297	240.9	32.56	0.5783888888888888	2167
g	2009	12	16	9	35	31	11035m	0	9	0	5	20.0	224.03	-14.06	32.47	0.4271	2455181.8996643517	1120.15	100.0	0.4218888888888889	2091
g	2009	12	17	9	35	31	11035m	0	5	0	3	18.45	224.26	-0.65	1.83	0.3362	2455182.8996643517	672.78	55.35	0.4963888888888889	2091
g	2009	12	19	11	3	31	11035m	0	5	0	3	23.38	209.62	11.87	335.78	0.462	2455184.960775463	628.86	70.14	0.5659444444444445	2091
g	2004	3	25	16	24	0	10584m	0	2	0	1	-16.8	103.79	-25.41	114.14	0.452	2453090.183333333	103.79	-16.8	0.3588333333333333	2014
g	2004	3	28	10	12	21	10584m	0	9	0	4	-15.91	108.39	15.36	237.23	0.3043	2453092.9252430554	433.56	-63.64	0.5853333333333334	2014
g	2015	3	22	15	1	30	12310	0	3	0	5	5.9	355.16	-74.84	82.07	0.9704	2457104.126041666	1775.8000000000006	29.5	0.0842222222222222	2161
g	2015	3	23	8	41	31	12310	2	24	3	38	6.63	349.04	-71.18	80.7	0.9477	2457104.862164352	13263.52	251.94	0.10455555555555553	2161
g	2015	3	24	9	4	53	12310	31	121	36	157	11.34	341.49	-65.37	74.73	0.9124	2457105.878391204	53613.93	1780.38	0.1368333333333333	2161
g	2015	3	25	0	22	0	12310	47	179	46	171	11.27	342.15	-56.31	72.44	0.8459	2457106.5152777783	58507.65	1927.17	0.18716666666666665	2161
g	2015	3	26	0	39	0	12310	37	163	27	125	13.0	339.55	-45.57	66.4	0.7512	2457107.527083333	42443.75	1625.0	0.2468333333333333	2161
g	2015	3	27	8	20	57	12310	34	179	22	110	13.31	340.18	-27.52	51.91	0.552	2457108.8478819444	37419.8	1464.1	0.34711111111111115	2161
g	2015	3	28	7	39	45	12310	12	87	7	49	14.82	336.84	-18.04	39.79	0.4711	2457109.819270833	16505.16	726.1800000000003	0.3997777777777777	2162
g	2015	3	29	9	7	7	12310	14	76	8	40	13.66	339.01	-1.87	5.26	0.3493	2457110.87994213	13560.4	546.4	0.4896111111111111	2162
g	2015	3	30	7	37	52	12310	8	46	5	25	13.79	336.03	7.51	339.86	0.3711	2457111.817962963	8400.75	344.75	0.5417222222222222	2162
g	2015	3	31	9	37	25	12310	0	20	0	11	13.0	337.78	23.54	310.85	0.5248	2457112.9009837965	3715.58	143.0	0.6307777777777778	2162
