Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2002	1997	10239a	2452634.9663425926	2452644.0566435186	104	331.95971153846153	-18.736538461538462	0.27472222222222226	0.684	228.56	350.27	121.70999999999998	-23.91	2.37	26.28
2003	2010	10520	2452983.863136574	2452996.245833333	2285	13.850870897155364	4.342542669584245	0.04711111111111113	0.9501666666666667	7.53	81.33	73.8	1.89	27.03	25.14
2004	2014	10584m	2453090.183333333	2453092.9252430554	8	98.09125	-5.70875	0.34038888888888885	0.5853333333333334	82.46	108.39	25.930000000000007	-16.8	11.59	28.39
2005	2034	10808a	2453628.891759259	2453636.0283680554	23	163.32000000000002	14.470000000000002	0.23155555555555554	0.6747777777777778	150.11	168.22	18.109999999999985	10.76	23.16	12.4
2008	2069	10991	2454574.991990741	2454581.9539467595	14	282.67285714285714	-7.9435714285714285	0.23761111111111113	0.7132222222222222	277.99	287.76	9.769999999999982	-12.44	-2.43	10.01
2009	2088	11026m	2455096.0725578703	2455108.8036921294	17	203.45999999999998	-28.314117647058826	0.5864999999999999	0.9159444444444444	196.91	305.66	108.75000000000003	-29.8	-6.58	23.22
2009	2091	11035m	2455180.8996643517	2455184.960775463	14	219.77214285714285	18.742142857142856	0.3171111111111111	0.5659444444444445	209.62	224.26	14.639999999999986	12.3	23.38	11.079999999999998
2010	2099	11089o	2455401.976759259	2455405.1102083335	105	286.12104761904766	28.337047619047617	0.4860555555555555	0.9827222222222222	169.49	287.31	117.82	-20.09	29.01	49.1
2013	2132	11657m	2456305.9094675924	2456312.55	9	119.38777777777779	-11.610000000000001	0.2571111111111111	0.6689444444444445	106.55	122.23	15.680000000000007	-19.61	-6.65	12.959999999999999
2013	2137	11765p	2456452.515277778	2456460.7568171294	87	335.5252873563218	13.010689655172415	0.22216666666666668	0.7766666666666667	318.55	341.86	23.310000000000002	10.87	25.22	14.35
2013	2140	11809q	2456515.8580787037	2456521.899710648	5	215.78400000000002	12.809999999999999	0.2013888888888889	0.6571111111111111	205.26	219.5	14.240000000000009	6.37	18.59	12.219999999999999
2014	2149	12045o	2456772.789270833	2456776.7644097223	14	76.575	-16.92642857142857	0.2197222222222222	0.5301666666666667	71.16	82.57	11.409999999999997	-26.3	-12.36	13.940000000000001
2014	2150	12052m	2456782.7534953705	2456786.8169791666	9	327.17555555555555	-19.935555555555556	0.3875	0.5793333333333334	312.1	331.94	19.839999999999975	-27.02	-16.64	10.379999999999999
2014	2154	12149m	2456896.8491666666	2456901.1028009257	5	231.484	19.157999999999998	0.2275	0.5161666666666667	228.94	233.18	4.240000000000009	13.29	27.96	14.670000000000002
2014	2155	12190m	2456944.8233564813	2456950.761064815	24	297.3933333333334	7.036666666666665	0.117	0.5375555555555556	292.01	299.96	7.949999999999989	5.09	15.24	10.15
2014	2156	12201m	2456960.798738426	2456965.011851852	6	82.46	-11.983333333333334	0.09861111111111111	0.37822222222222224	80.73	85.92	5.189999999999998	-19.55	3.15	22.7
1978	1670	1226a	2443714.8489583335	2443718.833275463	12	26.026666666666667	24.973333333333333	0.5654444444444444	0.732	18.4	41.11	22.71	16.02	28.52	12.5
2015	2160	12280r	2457056.0429398147	2457067.985115741	108	279.2192592592593	-12.180648148148148	0.2556666666666667	0.740111111111111	223.06	305.62	82.56	-29.58	-5.06	24.52
2015	2161	12292s	2457085.8649652777	2457092.1416435186	25	243.2328	-20.9904	0.3691666666666667	0.6462222222222221	231.59	296.92	65.33000000000001	-22.43	-6.56	15.870000000000001
2015	2161	12297o	2457096.1297800927	2457098.8958333335	12	170.855	-12.503333333333332	0.5026666666666667	0.6371666666666667	158.13	175.85	17.72	-21.54	-8.35	13.19
