Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2002	1997	10233	2452630.9663425926	2452637.1791666667	85	91.37894117647059	16.818	0.1915	0.4981111111111111	345.56	17.62	32.06	12.07	18.67	6.600000000000001
2002	1997	10239a	2452634.9663425926	2452644.0566435186	104	331.95971153846153	-18.736538461538462	0.27472222222222226	0.684	228.56	350.27	121.70999999999998	-23.91	2.37	26.28
2003	2010	10520	2452983.863136574	2452996.245833333	2285	13.850870897155364	4.342542669584245	0.04711111111111113	0.9501666666666667	7.53	81.33	73.8	1.89	27.03	25.14
2004	2024	10715n	2453370.859537037	2453377.052627315	18	291.9844444444445	12.497777777777777	0.31227777777777777	0.7786111111111111	316.7	72.48	115.78000000000002	6.12	13.59	7.47
2009	2088	11026m	2455096.0725578703	2455108.8036921294	17	203.45999999999998	-28.314117647058826	0.5864999999999999	0.9159444444444444	196.91	305.66	108.75000000000003	-29.8	-6.58	23.22
2010	2099	11089o	2455401.976759259	2455405.1102083335	105	286.12104761904766	28.337047619047617	0.4860555555555555	0.9827222222222222	169.49	287.31	117.82	-20.09	29.01	49.1
2010	2100	11098	2455418.2337037036	2455427.144814815	261	224.11647509578543	16.385785440613027	0.31327777777777777	0.8451666666666666	301.36	14.34	72.97999999999999	13.54	22.08	8.54
2010	2104	11130n	2455538.499664352	2455542.2086921297	18	198.39666666666668	-23.63888888888889	0.4939444444444444	0.6712222222222222	179.04	212.43	33.390000000000015	-28.16	-20.76	7.399999999999999
2012	2120	11421o	2455983.0074189813	2455989.0833564815	12	78.75583333333333	-23.995	0.40227777777777773	0.666611111111111	56.8	94.41	37.61	-26.63	-22.27	4.359999999999999
2014	2145	11948s	2456671.6006944445	2456673.535416667	4	190.515	-20.57	0.520611111111111	0.5498888888888889	355.14	25.89	30.750000000000014	-20.67	-20.47	0.20000000000000284
2014	2147	11977m	2456703.906550926	2456705.937708333	8	261.195	-20.82	0.09922222222222223	0.4899444444444444	239.4	282.99	43.59	-23.22	-18.42	4.799999999999997
2014	2147	11980n	2456711.8258680557	2456712.835787037	8	264.28999999999996	14.826250000000002	0.5655555555555556	0.9267222222222222	219.0	270.76	51.75999999999999	6.12	16.07	9.95
2015	2160	12280r	2457056.0429398147	2457067.985115741	108	279.2192592592593	-12.180648148148148	0.2556666666666667	0.740111111111111	223.06	305.62	82.56	-29.58	-5.06	24.52
2015	2161	12292s	2457085.8649652777	2457092.1416435186	25	243.2328	-20.9904	0.3691666666666667	0.6462222222222221	231.59	296.92	65.33000000000001	-22.43	-6.56	15.870000000000001
2015	2162	12314m	2457111.817962963	2457121.8053703704	32	271.884375	-15.759062499999999	0.34155555555555556	0.6908888888888889	227.23	300.0	72.77000000000001	-34.59	-7.89	26.700000000000003
2015	2163	12332m	2457137.7582523148	2457144.7605324076	9	295.4866666666666	-7.852222222222222	0.35288888888888886	0.5533888888888889	262.34	328.91	66.57000000000005	-11.05	-4.32	6.73
2015	2163	12334m	2457148.7553819446	2457152.850486111	11	195.0763636363636	-29.15545454545455	0.4736666666666667	0.622	163.48	221.64	58.16	-32.29	-28.23	4.059999999999999
2015	2166	12391m	2457231.1214814815	2457240.753599537	164	137.79384146341462	14.97201219512195	0.29433333333333334	0.9446111111111111	119.94	153.85	33.91	12.11	18.26	6.150000000000002
2015	2167	12403w	2457259.7664814815	2457265.771377315	59	141.04389830508475	15.24372881355932	0.37955555555555553	0.6165555555555555	113.86	155.42	41.55999999999999	13.65	23.54	9.889999999999999
2015	2168	12419s	2457284.5541666667	2457292.0235532406	26	148.9176923076923	18.313076923076924	0.19205555555555556	0.6696111111111112	107.82	153.83	46.01000000000002	14.03	23.97	9.94
2015	2170	12450o	2457342.859398148	2457350.6784722223	78	108.47423076923077	-20.478461538461538	0.3023888888888889	0.6979444444444444	87.48	120.1	32.61999999999999	-23.31	-16.7	6.609999999999999
2015	2171	12465s	2457369.874641204	2457375.8502199072	40	126.39175	12.316	0.33555555555555555	0.7056111111111111	100.62	130.91	30.289999999999992	10.03	14.76	4.73
2015	2171	12468n	2457371.8367939815	2457377.915625	34	105.86676470588236	-23.77617647058824	0.3844444444444445	0.7170555555555556	63.68	123.61	59.93	-32.03	-20.24	11.790000000000003
1978	1672	1285m	2443752.9223611113	2443759.9397569443	24	164.25333333333336	21.094166666666666	0.13966666666666666	0.4876111111111111	146.69	181.17	34.47999999999999	14.78	26.82	12.040000000000001
1978	1673	1309	2443775.9777893517	2443786.863541667	586	209.00667235494885	37.72247440273038	0.06572222222222221	0.6941111111111111	192.92	223.46	30.54000000000002	34.96	42.14	7.18
1982	1730	4039m	2445333.868715278	2445337.985324074	6	254.21000000000004	-17.355	0.5601111111111111	0.6679444444444445	236.81	271.61	34.80000000000001	-25.87	-8.84	17.03
1990	1825	5937m	2447938.817476852	2447940.851736111	6	57.69833333333333	-11.049999999999999	0.21333333333333332	0.5565	28.54	63.53	34.99	-12.3	-10.8	1.5
1990	1830	6146	2448079.849664352	2448090.812037037	97	316.72556701030925	-15.616082474226804	0.20111111111111113	0.9112222222222222	290.23	323.45	33.21999999999997	-21.93	-8.93	13.0
