Year	CarringtonRotation	NOAA	StartJulianDay	EndJulianDay	TotalGroupArea	WeightedLongitude	WeightedLatitude	StartPosition	EndPosition	MinLongitude	MaxLongitude	LongitudeRange	MinLatitude	MaxLatitude	LatitudeRange
2002	1997	10239a	2452634.9663425926	2452640.0503703705	95	341.64810526315785	-20.64294736842105	0.3617222222222222	0.684	339.06	350.27	11.20999999999998	-23.91	-15.52	8.39
2003	2010	10520	2452983.863136574	2452996.245833333	2116	8.461469754253308	2.53054820415879	0.04711111111111113	0.9501666666666668	7.53	9.33	1.7999999999999998	1.89	3.41	1.5200000000000002
2004	2014	10584m	2453090.183333333	2453092.9252430554	5	107.47	-16.088	0.3588333333333333	0.5853333333333334	103.79	108.39	4.599999999999994	-16.8	-15.91	0.8900000000000006
2005	2034	10808a	2453628.891759259	2453634.9217824074	18	165.9227777777778	12.48388888888889	0.23155555555555554	0.581	150.11	168.22	18.109999999999985	10.76	17.89	7.130000000000001
2008	2069	10991	2454574.991990741	2454577.926875	12	283.4533333333333	-8.862499999999999	0.2376111111111112	0.4301111111111111	280.22	287.76	7.539999999999964	-12.44	-7.77	4.67
2009	2088	11026m	2455105.8966550925	2455108.803692129	16	197.0725	-29.6725	0.7026666666666667	0.9159444444444444	196.91	197.2	0.28999999999999204	-29.8	-29.2	0.6000000000000014
2009	2091	11035m	2455181.8996643517	2455184.960775463	11	220.16272727272727	20.49909090909091	0.4218888888888889	0.5659444444444445	209.62	224.26	14.639999999999986	18.45	23.38	4.93
2010	2104	11130n	2455538.499664352	2455542.2086921297	14	203.92714285714288	-22.34714285714286	0.5068333333333334	0.6712222222222222	193.15	212.43	19.28	-25.09	-20.76	4.329999999999998
2012	2120	11421o	2455984.012523148	2455989.083356481	9	73.53777777777776	-23.63	0.4022777777777777	0.6666111111111109	56.8	75.99	19.189999999999998	-26.63	-22.27	4.359999999999999
2013	2132	11657m	2456305.9094675924	2456312.55	5	117.11399999999999	-15.578	0.2571111111111111	0.6689444444444445	106.55	119.87	13.320000000000007	-19.61	-13.38	6.229999999999999
2013	2140	11809q	2456520.822395833	2456521.899710648	3	214.75333333333333	17.103333333333335	0.4988888888888889	0.6571111111111111	205.26	219.5	14.240000000000009	16.36	18.59	2.2300000000000004
2014	2150	12052m	2456782.7534953705	2456784.790613426	7	331.48285714285714	-17.91142857142857	0.3875	0.5406666666666666	331.3	331.94	0.6399999999999864	-18.42	-16.64	1.7800000000000011
1978	1670	1226a	2443714.848958333	2443718.833275463	10	23.324	26.764	0.5654444444444444	0.732	18.4	41.11	22.71	22.72	28.52	5.800000000000001
2015	2161	12297o	2457097.8474768517	2457098.895833333	4	160.865	-20.81	0.5298888888888889	0.6371666666666667	158.13	163.6	5.469999999999999	-21.54	-20.08	1.4600000000000009
